t,offered_s,throughput_s,goodput_s,dropped_s,queue_depth
1,67.0,66.0,66.0,0.0,0
2,58.0,55.0,55.0,0.0,0
3,72.0,69.0,69.0,0.0,3
4,54.0,59.0,59.0,0.0,0
5,51.0,50.0,50.0,0.0,0
6,46.0,46.0,46.0,0.0,0
7,57.0,58.0,58.0,0.0,0
8,62.0,58.0,58.0,0.0,2
9,69.0,68.0,68.0,0.0,3
10,72.0,75.0,75.0,0.0,0
11,69.0,64.0,64.0,0.0,5
12,61.0,66.0,66.0,0.0,0
13,64.0,64.0,64.0,0.0,0
14,62.0,62.0,62.0,0.0,0
15,53.0,51.0,51.0,0.0,2
16,58.0,60.0,60.0,0.0,0
17,68.0,69.0,69.0,0.0,0
18,55.0,54.0,54.0,0.0,0
19,62.0,63.0,63.0,0.0,0
20,58.0,59.0,59.0,0.0,0
21,322.0,78.0,78.0,0.0,242
22,532.0,80.0,80.0,190.0,504
23,818.0,80.0,80.0,484.0,758
24,1093.0,79.0,79.0,762.0,1010
25,1358.0,77.0,77.0,967.0,1324
26,1643.0,80.0,80.0,1296.0,1591
27,1914.0,80.0,80.0,1580.0,1845
28,2196.0,80.0,80.0,1856.0,2105
29,2474.0,80.0,80.0,2134.0,2365
30,2728.0,80.0,80.0,2415.0,2598
31,2716.0,79.0,79.0,2674.0,2561
32,2690.0,77.0,77.0,2550.0,2624
33,2677.0,80.0,80.0,2639.0,2582
34,2677.0,80.0,80.0,2624.0,2555
35,2664.0,80.0,80.0,2600.0,2539
36,2616.0,80.0,80.0,2582.0,2493
37,2596.0,80.0,80.0,2560.0,2449
38,2568.0,79.0,79.0,2539.0,2399
39,2546.0,77.0,77.0,2399.0,2469
40,2534.0,80.0,80.0,2493.0,2430
41,2521.0,80.0,80.0,2476.0,2395
42,2475.0,80.0,80.0,2451.0,2339
43,2467.0,80.0,80.0,2424.0,2302
44,2434.0,80.0,80.0,2401.0,2255
45,2411.0,76.0,76.0,2264.0,2326
46,2408.0,80.0,80.0,2371.0,2283
47,2382.0,80.0,80.0,2337.0,2248
48,2349.0,80.0,80.0,2307.0,2210
49,2338.0,80.0,80.0,2278.0,2190
50,2302.0,80.0,80.0,2259.0,2153
51,2293.0,79.0,79.0,2244.0,2123
52,2262.0,77.0,77.0,2105.0,2203
53,2286.0,80.0,80.0,2223.0,2186
54,2278.0,80.0,80.0,2204.0,2180
55,2274.0,80.0,80.0,2198.0,2176
56,2226.0,80.0,80.0,2193.0,2129
57,2188.0,79.0,79.0,2177.0,2061
58,2193.0,79.0,79.0,2148.0,2027
59,2144.0,78.0,78.0,2044.0,2049
60,2173.0,80.0,80.0,2102.0,2040
61,2141.0,80.0,80.0,2094.0,2007
62,2131.0,80.0,80.0,2062.0,1996
63,2079.0,80.0,80.0,2054.0,1941
64,2049.0,80.0,80.0,2030.0,1880
65,2023.0,78.0,78.0,2003.0,1822
66,2008.0,78.0,78.0,1843.0,1909
67,2005.0,80.0,80.0,1944.0,1890
68,1987.0,80.0,80.0,1925.0,1872
69,1962.0,80.0,80.0,1909.0,1845
70,1891.0,80.0,80.0,1888.0,1768
71,1861.0,79.0,79.0,1864.0,1686
72,1768.0,79.0,79.0,1803.0,1572
73,1682.0,78.0,78.0,1596.0,1580
74,1568.0,80.0,80.0,1600.0,1468
75,1458.0,80.0,80.0,1483.0,1363
76,1341.0,80.0,80.0,1375.0,1249
77,1215.0,80.0,80.0,1259.0,1125
78,1128.0,79.0,79.0,1149.0,1025
79,1046.0,79.0,79.0,1040.0,952
80,945.0,78.0,78.0,925.0,894
81,880.0,80.0,80.0,860.0,834
82,838.0,80.0,80.0,797.0,795
83,803.0,80.0,80.0,767.0,751
84,765.0,80.0,80.0,723.0,713
85,700.0,78.0,78.0,687.0,648
86,695.0,80.0,80.0,651.0,612
87,660.0,78.0,78.0,587.0,607
88,627.0,80.0,80.0,579.0,575
89,602.0,80.0,80.0,548.0,549
90,594.0,80.0,80.0,523.0,540
