t,offered_s,throughput_s,goodput_s,dropped_s,queue_depth
1,67.0,65.0,65.0,0.0,0
2,58.0,56.0,56.0,0.0,0
3,72.0,69.0,69.0,0.0,3
4,54.0,59.0,59.0,0.0,0
5,51.0,50.0,50.0,0.0,0
6,48.0,46.0,46.0,0.0,1
7,55.0,58.0,58.0,0.0,0
8,62.0,58.0,58.0,0.0,2
9,69.0,68.0,68.0,0.0,3
10,73.0,75.0,75.0,0.0,1
11,68.0,66.0,66.0,0.0,3
12,62.0,65.0,65.0,0.0,0
13,64.0,63.0,63.0,0.0,1
14,61.0,63.0,63.0,0.0,0
15,53.0,52.0,52.0,0.0,0
16,58.0,59.0,59.0,0.0,0
17,68.0,68.0,68.0,0.0,0
18,55.0,54.0,54.0,0.0,0
19,62.0,63.0,63.0,0.0,0
20,58.0,59.0,59.0,0.0,0
21,328.0,78.0,78.0,0.0,248
22,590.0,80.0,28.0,161.0,597
23,949.0,80.0,0.0,507.0,959
24,1300.0,80.0,0.0,870.0,1309
25,1649.0,79.0,0.0,1226.0,1653
26,2012.0,78.0,0.0,1575.0,2012
27,2368.0,79.0,0.0,1870.0,2431
28,2723.0,80.0,0.0,2290.0,2784
29,3083.0,80.0,0.0,2648.0,3139
30,3430.0,80.0,0.0,3021.0,3468
31,3487.0,80.0,0.0,3372.0,3503
32,3545.0,79.0,0.0,3405.0,3564
33,3617.0,77.0,0.0,3360.0,3744
34,3677.0,80.0,0.0,3558.0,3783
35,3729.0,80.0,0.0,3617.0,3815
36,3771.0,80.0,0.0,3677.0,3829
37,3852.0,80.0,0.0,3731.0,3870
38,3878.0,78.0,0.0,3782.0,3888
39,3946.0,78.0,0.0,3661.0,4095
40,4010.0,80.0,0.0,3902.0,4123
41,4090.0,80.0,0.0,3960.0,4173
42,4104.0,80.0,0.0,4038.0,4159
43,4187.0,80.0,0.0,4071.0,4195
44,4222.0,78.0,0.0,4097.0,4242
45,4306.0,78.0,0.0,4004.0,4466
46,4343.0,80.0,0.0,4260.0,4469
47,4400.0,80.0,0.0,4303.0,4486
48,4432.0,80.0,0.0,4348.0,4490
49,4518.0,80.0,0.0,4403.0,4525
50,4577.0,78.0,0.0,4448.0,4576
51,4642.0,78.0,0.0,4336.0,4804
52,4687.0,80.0,0.0,4607.0,4804
53,4776.0,80.0,0.0,4658.0,4842
54,4856.0,80.0,0.0,4723.0,4895
55,4918.0,80.0,0.0,4807.0,4926
56,4968.0,78.0,0.0,4837.0,4979
57,5020.0,78.0,0.0,4742.0,5179
58,5087.0,80.0,0.0,4978.0,5208
59,5137.0,80.0,0.0,5046.0,5219
60,5205.0,80.0,0.0,5093.0,5251
61,5250.0,80.0,0.0,5172.0,5249
62,5318.0,78.0,0.0,5173.0,5316
63,5372.0,78.0,0.0,5050.0,5560
64,5411.0,80.0,0.0,5326.0,5565
65,5465.0,80.0,0.0,5392.0,5558
66,5546.0,80.0,0.0,5442.0,5582
67,5573.0,80.0,0.0,5476.0,5599
68,5639.0,78.0,0.0,5503.0,5657
69,5710.0,78.0,0.0,5346.0,5943
70,5760.0,80.0,0.0,5674.0,5949
71,5696.0,80.0,0.0,5742.0,5823
72,5430.0,80.0,0.0,5707.0,5466
73,5166.0,80.0,0.0,5375.0,5177
74,4867.0,79.0,0.0,5100.0,4865
75,4518.0,77.0,0.0,4585.0,4721
76,4266.0,80.0,0.0,4517.0,4390
77,3948.0,80.0,0.0,4221.0,4037
78,3695.0,80.0,0.0,3924.0,3728
79,3399.0,80.0,0.0,3629.0,3418
80,3090.0,79.0,0.0,3339.0,3090
81,2965.0,78.0,0.0,2994.0,2983
82,2954.0,79.0,0.0,2813.0,3045
83,2961.0,80.0,0.0,2904.0,3022
84,2962.0,80.0,0.0,2908.0,2996
85,2949.0,80.0,0.0,2899.0,2966
86,2927.0,78.0,0.0,2880.0,2935
87,2945.0,79.0,0.0,2843.0,2958
88,2928.0,79.0,0.0,2778.0,3029
89,2944.0,80.0,0.0,2873.0,3020
90,2950.0,80.0,0.0,2879.0,3011
