t,offered_s,throughput_s,goodput_s,dropped_s,queue_depth
1,67.0,65.0,65.0,0.0,0
2,58.0,56.0,56.0,0.0,0
3,72.0,69.0,69.0,0.0,3
4,54.0,59.0,59.0,0.0,0
5,51.0,50.0,50.0,0.0,0
6,46.0,46.0,46.0,0.0,0
7,56.0,56.0,56.0,0.0,0
8,61.0,60.0,60.0,0.0,0
9,71.0,68.0,68.0,0.0,3
10,72.0,75.0,75.0,0.0,0
11,69.0,64.0,64.0,0.0,5
12,62.0,66.0,66.0,0.0,1
13,63.0,64.0,64.0,0.0,0
14,62.0,63.0,63.0,0.0,0
15,53.0,52.0,52.0,0.0,0
16,58.0,59.0,59.0,0.0,0
17,69.0,68.0,68.0,0.0,0
18,54.0,55.0,55.0,0.0,0
19,63.0,62.0,62.0,0.0,0
20,58.0,60.0,60.0,0.0,0
21,335.0,77.0,77.0,0.0,256
22,610.0,80.0,28.0,0.0,786
23,971.0,80.0,0.0,0.0,1677
24,1323.0,80.0,0.0,0.0,2920
25,1679.0,80.0,0.0,0.0,4519
26,2030.0,80.0,0.0,0.0,6469
27,2397.0,78.0,0.0,0.0,8788
28,2737.0,79.0,0.0,0.0,11446
29,3103.0,79.0,0.0,0.0,14470
30,3469.0,80.0,0.0,0.0,17859
31,3529.0,80.0,0.0,0.0,21308
32,3597.0,80.0,0.0,0.0,24825
33,3654.0,80.0,0.0,0.0,28399
34,3722.0,80.0,0.0,0.0,32041
35,3758.0,77.0,0.0,0.0,35722
36,3828.0,80.0,0.0,0.0,39470
37,3853.0,79.0,0.0,0.0,43244
38,3943.0,80.0,0.0,0.0,47107
39,3999.0,80.0,0.0,0.0,51026
40,4054.0,80.0,0.0,0.0,55000
41,4099.0,78.0,0.0,0.0,59021
42,4171.0,79.0,0.0,0.0,63113
43,4236.0,80.0,0.0,0.0,67269
44,4298.0,79.0,0.0,0.0,71488
45,4317.0,80.0,0.0,0.0,75725
46,4365.0,80.0,0.0,0.0,80010
47,4424.0,80.0,0.0,0.0,84354
48,4502.0,77.0,0.0,0.0,88779
49,4579.0,80.0,0.0,0.0,93278
50,4620.0,80.0,0.0,0.0,97818
51,4690.0,79.0,0.0,0.0,102429
52,4724.0,80.0,0.0,0.0,107073
53,4829.0,80.0,0.0,0.0,111822
54,4891.0,80.0,0.0,0.0,116633
55,4965.0,77.0,0.0,0.0,121521
56,5024.0,80.0,0.0,0.0,126465
57,5052.0,80.0,0.0,0.0,131437
58,5112.0,79.0,0.0,0.0,136470
59,5161.0,80.0,0.0,0.0,141551
60,5236.0,80.0,0.0,0.0,146707
61,5305.0,79.0,0.0,0.0,151933
62,5384.0,78.0,0.0,0.0,157239
63,5430.0,80.0,0.0,0.0,162589
64,5436.0,80.0,0.0,0.0,167945
65,5506.0,79.0,0.0,0.0,173372
66,5545.0,80.0,0.0,0.0,178837
67,5652.0,80.0,0.0,0.0,184409
68,5716.0,80.0,0.0,0.0,190045
69,5760.0,77.0,0.0,0.0,195728
70,5829.0,80.0,0.0,0.0,201477
71,5723.0,80.0,0.0,0.0,207120
72,5459.0,79.0,0.0,0.0,212500
73,5167.0,80.0,0.0,0.0,217587
74,4867.0,80.0,0.0,0.0,222374
75,4564.0,80.0,0.0,0.0,226858
76,4266.0,78.0,0.0,0.0,231046
77,3940.0,79.0,0.0,0.0,234907
78,3671.0,80.0,0.0,0.0,238498
79,3378.0,79.0,0.0,0.0,241797
80,3083.0,80.0,0.0,0.0,244800
81,2976.0,80.0,0.0,0.0,247696
82,2979.0,80.0,0.0,0.0,250595
83,2954.0,77.0,0.0,0.0,253472
84,2977.0,80.0,0.0,0.0,256369
85,2953.0,80.0,0.0,0.0,259242
86,2940.0,80.0,0.0,0.0,262102
87,2933.0,79.0,0.0,0.0,264956
88,2942.0,80.0,0.0,0.0,267818
89,2962.0,80.0,0.0,0.0,270700
90,2966.0,79.0,0.0,0.0,273587
