t,offered_s,throughput_s,goodput_s,dropped_s,queue_depth
1,67.0,66.0,66.0,0.0,0
2,58.0,55.0,55.0,0.0,0
3,72.0,69.0,69.0,0.0,3
4,54.0,59.0,59.0,0.0,0
5,51.0,50.0,50.0,0.0,0
6,46.0,46.0,46.0,0.0,0
7,56.0,57.0,57.0,0.0,0
8,62.0,59.0,59.0,0.0,1
9,70.0,68.0,68.0,0.0,3
10,73.0,75.0,75.0,0.0,1
11,68.0,64.0,64.0,0.0,5
12,62.0,67.0,67.0,0.0,0
13,63.0,63.0,63.0,0.0,0
14,62.0,62.0,62.0,0.0,0
15,53.0,51.0,51.0,0.0,2
16,58.0,60.0,60.0,0.0,0
17,68.0,69.0,69.0,0.0,0
18,55.0,54.0,54.0,0.0,0
19,62.0,63.0,63.0,0.0,0
20,58.0,59.0,59.0,0.0,0
21,330.0,78.0,78.0,0.0,250
22,616.0,80.0,80.0,0.0,786
23,899.0,80.0,80.0,0.0,1605
24,1173.0,80.0,80.0,0.0,2698
25,1440.0,80.0,80.0,0.0,4058
26,1734.0,78.0,78.0,0.0,5714
27,2010.0,78.0,78.0,0.0,7646
28,2283.0,80.0,80.0,0.0,9849
29,2550.0,80.0,80.0,0.0,12319
30,2828.0,80.0,80.0,0.0,15067
31,2814.0,80.0,80.0,0.0,17801
32,2790.0,80.0,80.0,0.0,20511
33,2783.0,78.0,78.0,0.0,23216
34,2772.0,78.0,78.0,0.0,25910
35,2732.0,80.0,80.0,0.0,28562
36,2698.0,80.0,80.0,0.0,31180
37,2686.0,80.0,80.0,0.0,33786
38,2667.0,80.0,80.0,0.0,36373
39,2624.0,80.0,80.0,0.0,38917
40,2643.0,78.0,78.0,0.0,41482
41,2623.0,78.0,78.0,0.0,44027
42,2570.0,80.0,80.0,0.0,46517
43,2554.0,80.0,80.0,0.0,48991
44,2548.0,80.0,80.0,0.0,51459
45,2517.0,80.0,80.0,0.0,53896
46,2490.0,80.0,80.0,0.0,56306
47,2478.0,78.0,78.0,0.0,58706
48,2454.0,78.0,78.0,0.0,61082
49,2425.0,80.0,80.0,0.0,63427
50,2352.0,80.0,80.0,0.0,65699
51,2386.0,80.0,80.0,0.0,68005
52,2381.0,80.0,80.0,0.0,70306
53,2369.0,80.0,80.0,0.0,72595
54,2369.0,78.0,78.0,0.0,74886
55,2359.0,78.0,78.0,0.0,77167
56,2315.0,80.0,80.0,0.0,79402
57,2281.0,80.0,80.0,0.0,81603
58,2279.0,80.0,80.0,0.0,83802
59,2268.0,80.0,80.0,0.0,85990
60,2244.0,80.0,80.0,0.0,88154
61,2230.0,80.0,80.0,0.0,90304
62,2207.0,76.0,76.0,0.0,92435
63,2172.0,80.0,80.0,0.0,94527
64,2152.0,80.0,80.0,0.0,96599
65,2120.0,80.0,80.0,0.0,98639
66,2099.0,80.0,80.0,0.0,100658
67,2093.0,80.0,80.0,0.0,102671
68,2081.0,80.0,80.0,0.0,104672
69,2051.0,76.0,76.0,0.0,106647
70,2001.0,80.0,80.0,0.0,108568
71,1963.0,80.0,80.0,0.0,110451
72,1879.0,80.0,80.0,0.0,112250
73,1804.0,80.0,80.0,0.0,113974
74,1736.0,80.0,80.0,0.0,115630
75,1652.0,80.0,80.0,0.0,117202
76,1561.0,76.0,76.0,0.0,118687
77,1489.0,80.0,80.0,0.0,120096
78,1416.0,80.0,80.0,0.0,121432
79,1362.0,80.0,80.0,0.0,122714
80,1300.0,80.0,80.0,0.0,123934
81,1263.0,80.0,80.0,0.0,125117
82,1267.0,80.0,80.0,0.0,126304
83,1228.0,76.0,76.0,0.0,127456
84,1212.0,80.0,80.0,0.0,128588
85,1176.0,80.0,80.0,0.0,129684
86,1143.0,80.0,80.0,0.0,130747
87,1086.0,80.0,80.0,0.0,131753
88,1076.0,80.0,80.0,0.0,132749
89,1055.0,80.0,80.0,0.0,133724
90,1048.0,80.0,80.0,0.0,134692
