t,offered_s,throughput_s,goodput_s,dropped_s,queue_depth
1,67.0,66.0,66.0,0.0,0
2,58.0,55.0,55.0,0.0,0
3,72.0,69.0,69.0,0.0,3
4,54.0,59.0,59.0,0.0,0
5,51.0,50.0,50.0,0.0,0
6,49.0,47.0,47.0,0.0,1
7,54.0,57.0,57.0,0.0,0
8,62.0,60.0,60.0,0.0,0
9,70.0,69.0,69.0,0.0,1
10,72.0,72.0,72.0,0.0,1
11,70.0,66.0,66.0,0.0,5
12,61.0,65.0,65.0,0.0,1
13,65.0,64.0,64.0,0.0,2
14,60.0,63.0,63.0,0.0,0
15,52.0,51.0,51.0,0.0,0
16,58.0,60.0,60.0,0.0,0
17,69.0,69.0,69.0,0.0,0
18,54.0,53.0,53.0,0.0,0
19,65.0,63.0,63.0,0.0,1
20,57.0,59.0,59.0,0.0,0
21,319.0,78.0,78.0,0.0,240
22,605.0,79.0,79.0,0.0,766
23,891.0,80.0,80.0,0.0,1577
24,1167.0,80.0,80.0,0.0,2664
25,1437.0,78.0,78.0,0.0,4023
26,1717.0,80.0,80.0,0.0,5660
27,1989.0,80.0,80.0,0.0,7569
28,2272.0,78.0,78.0,0.0,9763
29,2546.0,80.0,80.0,0.0,12229
30,2804.0,80.0,80.0,0.0,14953
31,2806.0,80.0,80.0,0.0,17679
32,2778.0,78.0,78.0,0.0,20379
33,2776.0,80.0,80.0,0.0,23075
34,2725.0,80.0,80.0,0.0,25720
35,2735.0,78.0,78.0,0.0,28377
36,2706.0,80.0,80.0,0.0,31003
37,2681.0,80.0,80.0,0.0,33604
38,2649.0,80.0,80.0,0.0,36173
39,2629.0,80.0,80.0,0.0,38722
40,2622.0,78.0,78.0,0.0,41266
41,2590.0,80.0,80.0,0.0,43776
42,2570.0,78.0,78.0,0.0,46268
43,2538.0,80.0,80.0,0.0,48726
44,2533.0,80.0,80.0,0.0,51179
45,2501.0,80.0,80.0,0.0,53600
46,2499.0,78.0,78.0,0.0,56021
47,2454.0,80.0,80.0,0.0,58395
48,2425.0,80.0,80.0,0.0,60740
49,2408.0,78.0,78.0,0.0,63070
50,2377.0,80.0,80.0,0.0,65367
51,2366.0,80.0,80.0,0.0,67653
52,2373.0,80.0,80.0,0.0,69946
53,2362.0,78.0,78.0,0.0,72230
54,2344.0,80.0,80.0,0.0,74494
55,2338.0,78.0,78.0,0.0,76754
56,2316.0,80.0,80.0,0.0,78990
57,2284.0,80.0,80.0,0.0,81194
58,2283.0,80.0,80.0,0.0,83397
59,2243.0,78.0,78.0,0.0,85562
60,2242.0,80.0,80.0,0.0,87724
61,2202.0,80.0,80.0,0.0,89846
62,2176.0,78.0,78.0,0.0,91944
63,2167.0,80.0,80.0,0.0,94031
64,2118.0,80.0,80.0,0.0,96069
65,2112.0,80.0,80.0,0.0,98101
66,2098.0,78.0,78.0,0.0,100121
67,2076.0,80.0,80.0,0.0,102117
68,2057.0,78.0,78.0,0.0,104096
69,2031.0,80.0,80.0,0.0,106047
70,1989.0,80.0,80.0,0.0,107956
71,1929.0,80.0,80.0,0.0,109805
72,1850.0,80.0,80.0,0.0,111575
73,1758.0,80.0,80.0,0.0,113253
74,1668.0,76.0,76.0,0.0,114845
75,1558.0,80.0,80.0,0.0,116323
76,1495.0,80.0,80.0,0.0,117738
77,1414.0,80.0,80.0,0.0,119072
78,1341.0,80.0,80.0,0.0,120333
79,1263.0,80.0,80.0,0.0,121516
80,1170.0,78.0,78.0,0.0,122608
81,1123.0,78.0,78.0,0.0,123653
82,1089.0,80.0,80.0,0.0,124662
83,1044.0,80.0,80.0,0.0,125626
84,1012.0,80.0,80.0,0.0,126558
85,968.0,80.0,80.0,0.0,127446
86,948.0,79.0,79.0,0.0,128315
87,920.0,79.0,79.0,0.0,129156
88,882.0,78.0,78.0,0.0,129960
89,854.0,80.0,80.0,0.0,130734
90,836.0,80.0,80.0,0.0,131490
